Date : 2024-02-14 14:47:53
Directory : /Users/stmoerman/Developer/Business/Bakklog/cal.com
Total : 4223 files,  291311 codes, 14860 comments, 32376 blanks, all 338547 lines

Languages
+-----------------------+------------+------------+------------+------------+------------+
| language              | files      | code       | comment    | blank      | total      |
+-----------------------+------------+------------+------------+------------+------------+
| TypeScript            |      1,996 |    123,600 |     10,648 |     18,377 |    152,625 |
| TypeScript JSX        |      1,024 |     84,538 |      2,148 |      9,671 |     96,357 |
| JSON                  |        221 |     58,134 |          0 |        221 |     58,355 |
| XML                   |        407 |      6,513 |          8 |        478 |      6,999 |
| HTML                  |          7 |      3,446 |         54 |        318 |      3,818 |
| MDX                   |         47 |      3,279 |         13 |        588 |      3,880 |
| JavaScript            |         45 |      2,462 |        586 |        245 |      3,293 |
| Markdown              |        129 |      2,260 |         20 |      1,025 |      3,305 |
| YAML                  |         45 |      2,211 |        186 |        175 |      2,572 |
| PostCSS               |         16 |      1,833 |        113 |        312 |      2,258 |
| SQL                   |        244 |      1,386 |        790 |        697 |      2,873 |
| Prisma                |          1 |        932 |         69 |        122 |      1,123 |
| JSON with Comments    |         21 |        317 |          4 |         21 |        342 |
| Shell Script          |          8 |        150 |         42 |         45 |        237 |
| Properties            |          1 |        118 |        154 |         58 |        330 |
| Diff                  |          4 |         56 |          0 |          5 |         61 |
| Docker                |          1 |         44 |         13 |         12 |         69 |
| Ignore                |          4 |         23 |          0 |          3 |         26 |
| PHP                   |          1 |          9 |         11 |          2 |         22 |
| Environment Variables |          1 |          0 |          1 |          1 |          2 |
+-----------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                          |      4,223 |    291,311 |     14,860 |     32,376 |    338,547 |
| . (Files)                                                                                                                                                                  |         22 |      1,823 |        178 |        389 |      2,390 |
| .changeset                                                                                                                                                                 |          2 |         17 |          0 |          4 |         21 |
| .github                                                                                                                                                                    |         41 |      1,465 |        102 |        192 |      1,759 |
| .github (Files)                                                                                                                                                            |          2 |         37 |          3 |         20 |         60 |
| .github/ISSUE_TEMPLATE                                                                                                                                                     |          3 |         52 |         17 |         33 |        102 |
| .github/actions                                                                                                                                                            |          5 |        151 |         17 |         11 |        179 |
| .github/actions/cache-build                                                                                                                                                |          1 |         30 |          1 |          1 |         32 |
